Year,Geography,Code,Name,66 + years (%)
2007,wijken,KD,Museumkwartier,11.2
2007,wijken,KE,Oude Pijp,5
2007,wijken,KF,Nieuwe Pijp,8.9
2007,wijken,KG,Zuid Pijp,10
2007,wijken,KH,Stadionbuurt,12.2
2007,wijken,KJ,Apollobuurt,14.4
2007,wijken,KK,Scheldebuurt,13.6
2007,wijken,KL,IJselbuurt,9.5
2007,wijken,KM,Rijnbuurt,12
2007,wijken,KN,Prinses Irenebuurt e.o.,23
2007,wijken,KP,Zuidas,1.2
2007,wijken,KQ,Buitenveldert-West,27.4
2007,wijken,KR,Buitenveldert-Oost,34.1
2007,wijken,MA,Oostelijk Havengebied,3.1
2007,wijken,MB,Weesperzijde,5.4
2007,wijken,MC,Oosterparkbuurt,6.5
2007,wijken,MD,Transvaalbuurt,5.6
2007,wijken,ME,Dapperbuurt,8.5
2007,wijken,MF,Indische Buurt-West,6.1
2007,wijken,MG,Indische Buurt-Oost,9.3
2007,wijken,MH,Zeeburgereiland/Bovendiep,2.2
2007,wijken,MJ,IJburg-West,2.6
2007,wijken,MK,IJburg-Oost,
2007,wijken,ML,IJburg-Zuid,
2007,wijken,MM,Frankendael,16.5
2007,wijken,MN,Middenmeer,11.3
2007,wijken,MP,Betondorp,28
2007,wijken,MQ,Omval/Overamstel,2.3
2007,wijken,NB,Noordelijke IJ-oevers-West,3.1
2007,wijken,NC,Tuindorp Oostzaan,20.4
2007,wijken,ND,Kadoelen,13.6
2007,wijken,NE,Banne Buiksloot,13.8
2007,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,8.7
2007,wijken,NG,Elzenhagen,12
2007,wijken,NH,Buikslotermeer,23
2007,wijken,NJ,Waterlandpleinbuurt,12.3
2007,wijken,NK,Volewijck,11.8
2007,wijken,NL,IJplein/Vogelbuurt,8
2007,wijken,NM,Tuindorp Buiksloot,19
2007,wijken,NN,Tuindorp Nieuwendam,23
2007,wijken,NP,Noordelijke IJ-oevers-Oost,11.8
2007,wijken,NQ,Waterland,13.8
2007,wijken,SA,Driemond,14.1
2007,wijken,TA,Amstel III/Bullewijk,3.5
2007,wijken,TB,Venserpolder,8
2007,wijken,TC,Amsterdamse Poort e.o.,3
2007,wijken,TD,H-buurt,3
2007,wijken,TE,Ganzenhoef e.o.,2.4
2007,wijken,TF,Geerdinkhof/Kantershof,19.6
2007,wijken,TG,Bijlmermuseum,4.6
2007,wijken,TH,K-buurt,12.9
2007,wijken,TJ,Holendrecht,11.1
2007,wijken,TK,Nellestein,18.1
2007,wijken,TL,Reigersbos,9.5
2007,wijken,TM,Gein,6.1
2008,wijken,AA,Haarlemmerbuurt,7.1
2008,wijken,AB,Jordaan,9.4
2008,wijken,AC,Grachtengordel-West,6.7
2008,wijken,AD,Burgwallen-Nieuwe Zijde,3.9
2008,wijken,AE,Burgwallen-Oude Zijde,5.1
2008,wijken,AF,Nieuwmarkt/Lastage,9
2008,wijken,AG,Grachtengordel-Zuid,9.5
2008,wijken,AH,De Weteringschans,6.9
2008,wijken,AJ,Weesperbuurt/Plantage,14.2
2008,wijken,AK,Oostelijke Eilanden/Kadijken,5.9
2008,wijken,EA,Sloterdijk-West,10.4
2008,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.4
2008,wijken,EC,Houthavens,2.1
2008,wijken,ED,De Kolenkit,7.2
2008,wijken,EE,Landlust,6.7
2008,wijken,EF,Erasmuspark,6.8
2008,wijken,EG,Centrale Markt,6
2008,wijken,EH,Staatsliedenbuurt,5.8
2008,wijken,EJ,Frederik Hendrikbuurt,8.4
2008,wijken,EK,Van Galenbuurt,7.6
2008,wijken,EL,Geuzenbuurt,7.1
2008,wijken,EM,Hoofdweg e.o.,7.8
2008,wijken,EN,Chassébuurt,6.2
2008,wijken,EP,Bellamybuurt,6.5
2008,wijken,EQ,Da Costabuurt,7.7
2008,wijken,ER,Westindische Buurt,7.6
2008,wijken,ES,Van Lennepbuurt,8.8
2008,wijken,ET,Overtoomse Sluis,5.7
2008,wijken,EU,Helmersbuurt,5.9
2008,wijken,EV,Vondelparkbuurt,12.5
2008,wijken,FA,Sloterdijk Nieuw-West,8.1
2008,wijken,FB,Geuzenveld,10.3
2008,wijken,FC,Slotermeer-West,12
2008,wijken,FD,Slotermeer-Noordoost,11.3
2008,wijken,FE,Slotermeer-Zuidoost,15.8
2008,wijken,FF,Lutkemeer/Ookmeer,9.6
2008,wijken,FG,De Aker,7.4
2008,wijken,FH,De Punt,17.5
2008,wijken,FJ,Osdorp-Midden,13.8
2008,wijken,FK,Osdorp-Oost,24.3
2008,wijken,FL,Slotervaart-Noord,15.6
2008,wijken,FM,Overtoomse Veld,9.6
2008,wijken,FN,Slotervaart-Zuid,19.5
2008,wijken,FP,Westlandgracht,11.5
2008,wijken,FQ,Sloten/Nieuw-Sloten,9.1
2008,wijken,KA,Hoofddorppleinbuurt,8.7
2008,wijken,KB,Schinkelbuurt,9.7
2008,wijken,KC,Willemspark,8.7
2008,wijken,KD,Museumkwartier,11.6
2008,wijken,KE,Oude Pijp,5
2008,wijken,KF,Nieuwe Pijp,8.8
2008,wijken,KG,Zuid Pijp,10
2008,wijken,KH,Stadionbuurt,12.5
2008,wijken,KJ,Apollobuurt,14.4
2008,wijken,KK,Scheldebuurt,13
2008,wijken,KL,IJselbuurt,9.6
2008,wijken,KM,Rijnbuurt,12
2008,wijken,KN,Prinses Irenebuurt e.o.,22
2008,wijken,KP,Zuidas,2.1
2008,wijken,KQ,Buitenveldert-West,27
2008,wijken,KR,Buitenveldert-Oost,33.7
2008,wijken,MA,Oostelijk Havengebied,3.3
2008,wijken,MB,Weesperzijde,5.5
2008,wijken,MC,Oosterparkbuurt,6.6
