Year,Geography,Code,Name,Mean disposable household income
2008,wijken,EA,Sloterdijk-West,
2008,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,24100
2008,wijken,EC,Houthavens,33500
2008,wijken,ED,De Kolenkit,24600
2008,wijken,EE,Landlust,25200
2008,wijken,EF,Erasmuspark,27100
2008,wijken,EG,Centrale Markt,33600
2008,wijken,EH,Staatsliedenbuurt,26100
2008,wijken,EJ,Frederik Hendrikbuurt,26500
2008,wijken,EK,Van Galenbuurt,23400
2008,wijken,EL,Geuzenbuurt,27400
2008,wijken,EM,Hoofdweg e.o.,25000
2008,wijken,EN,Chassébuurt,27500
2008,wijken,EP,Bellamybuurt,25000
2008,wijken,EQ,Da Costabuurt,29300
2008,wijken,ER,Westindische Buurt,30000
2008,wijken,ES,Van Lennepbuurt,25000
2008,wijken,ET,Overtoomse Sluis,30200
2008,wijken,EU,Helmersbuurt,33000
2008,wijken,EV,Vondelparkbuurt,61200
2008,wijken,FA,Sloterdijk Nieuw-West,11500
2008,wijken,FB,Geuzenveld,
2008,wijken,FC,Slotermeer-West,
2008,wijken,FD,Slotermeer-Noordoost,26100
2008,wijken,FE,Slotermeer-Zuidoost,
2008,wijken,FF,Lutkemeer/Ookmeer,35100
2008,wijken,FG,De Aker,39100
2008,wijken,FH,De Punt,27000
2008,wijken,FJ,Osdorp-Midden,26500
2008,wijken,FK,Osdorp-Oost,27600
2008,wijken,FL,Slotervaart-Noord,30600
2008,wijken,FM,Overtoomse Veld,28300
2008,wijken,FN,Slotervaart-Zuid,26800
2008,wijken,FP,Westlandgracht,30500
2008,wijken,FQ,Sloten/Nieuw-Sloten,40800
2008,wijken,KA,Hoofddorppleinbuurt,31900
2008,wijken,KB,Schinkelbuurt,30000
2008,wijken,KC,Willemspark,57000
2008,wijken,KD,Museumkwartier,52200
2008,wijken,KE,Oude Pijp,29100
2008,wijken,KF,Nieuwe Pijp,27600
2008,wijken,KG,Zuid Pijp,25300
2008,wijken,KH,Stadionbuurt,27000
2008,wijken,KJ,Apollobuurt,67100
2008,wijken,KK,Scheldebuurt,36600
2008,wijken,KL,IJselbuurt,28300
2008,wijken,KM,Rijnbuurt,28100
2008,wijken,KN,Prinses Irenebuurt e.o.,58500
2008,wijken,KP,Zuidas,
2008,wijken,KQ,Buitenveldert-West,35700
2008,wijken,KR,Buitenveldert-Oost,35000
2008,wijken,MA,Oostelijk Havengebied,42500
2008,wijken,MB,Weesperzijde,34100
2008,wijken,MC,Oosterparkbuurt,25800
2008,wijken,MD,Transvaalbuurt,25200
2008,wijken,ME,Dapperbuurt,25800
2008,wijken,MF,Indische Buurt-West,23500
2008,wijken,MG,Indische Buurt-Oost,24400
2008,wijken,MH,Zeeburgereiland/Bovendiep,32600
2008,wijken,MJ,IJburg-West,42600
2008,wijken,MK,IJburg-Oost,
2008,wijken,ML,IJburg-Zuid,34300
2008,wijken,MM,Frankendael,28200
2008,wijken,MN,Middenmeer,40500
2008,wijken,MP,Betondorp,22300
2008,wijken,MQ,Omval/Overamstel,44800
2008,wijken,NB,Noordelijke IJ-oevers-West,25100
2008,wijken,NC,Tuindorp Oostzaan,26300
2008,wijken,ND,Kadoelen,35500
2008,wijken,NE,Banne Buiksloot,26400
2008,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,45100
2008,wijken,NG,Elzenhagen,43600
2008,wijken,NH,Buikslotermeer,26500
2008,wijken,NJ,Waterlandpleinbuurt,26800
2008,wijken,NK,Volewijck,23000
2008,wijken,NL,IJplein/Vogelbuurt,23300
2008,wijken,NM,Tuindorp Buiksloot,25000
2008,wijken,NN,Tuindorp Nieuwendam,25800
2008,wijken,NP,Noordelijke IJ-oevers-Oost,
2008,wijken,NQ,Waterland,47300
2008,wijken,SA,Driemond,36900
2008,wijken,TA,Amstel III/Bullewijk,26700
2008,wijken,TB,Venserpolder,
2008,wijken,TC,Amsterdamse Poort e.o.,
2008,wijken,TD,H-buurt,
2008,wijken,TE,Ganzenhoef e.o.,
2008,wijken,TF,Geerdinkhof/Kantershof,
2008,wijken,TG,Bijlmermuseum,
2008,wijken,TH,K-buurt,
2008,wijken,TJ,Holendrecht,
2008,wijken,TK,Nellestein,29700
2008,wijken,TL,Reigersbos,
2008,wijken,TM,Gein,30500
2009,wijken,AA,Haarlemmerbuurt,32400
2009,wijken,AB,Jordaan,30300
2009,wijken,AC,Grachtengordel-West,47600
2009,wijken,AD,Burgwallen-Nieuwe Zijde,24900
2009,wijken,AE,Burgwallen-Oude Zijde,28100
2009,wijken,AF,Nieuwmarkt/Lastage,33300
2009,wijken,AG,Grachtengordel-Zuid,47000
2009,wijken,AH,De Weteringschans,38500
2009,wijken,AJ,Weesperbuurt/Plantage,36400
2009,wijken,AK,Oostelijke Eilanden/Kadijken,29600
2009,wijken,EA,Sloterdijk-West,
2009,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,25300
2009,wijken,EC,Houthavens,31200
2009,wijken,ED,De Kolenkit,25000
2009,wijken,EE,Landlust,25300
