Year,Geography,Code,Name,Area total (ha)
2018,wijken,FG,De Aker,164.47
2018,wijken,FH,De Punt,59.97
2018,wijken,FJ,Osdorp-Midden,111.69
2018,wijken,FK,Osdorp-Oost,177.06
2018,wijken,FL,Slotervaart-Noord,155.37
2018,wijken,FM,Overtoomse Veld,154.39
2018,wijken,FN,Slotervaart-Zuid,130.53
2018,wijken,FP,Westlandgracht,149.62
2018,wijken,FQ,Sloten/Nieuw-Sloten,593.98
2018,wijken,KA,Hoofddorppleinbuurt,95.66
2018,wijken,KB,Schinkelbuurt,34.63
2018,wijken,KC,Willemspark,69.85
2018,wijken,KD,Museumkwartier,138.54
2018,wijken,KE,Oude Pijp,67.98
2018,wijken,KF,Nieuwe Pijp,54.42
2018,wijken,KG,Zuid Pijp,39.08
2018,wijken,KH,Stadionbuurt,107.38
2018,wijken,KJ,Apollobuurt,94.28
2018,wijken,KK,Scheldebuurt,100.76
2018,wijken,KL,IJselbuurt,29.21
2018,wijken,KM,Rijnbuurt,110.32
2018,wijken,KN,Prinses Irenebuurt e.o.,43.3
2018,wijken,KP,Zuidas,216.67
2018,wijken,KQ,Buitenveldert-West,355.24
2018,wijken,KR,Buitenveldert-Oost,170.08
2018,wijken,MA,Oostelijk Havengebied,381.22
2018,wijken,MB,Weesperzijde,44.67
2018,wijken,MC,Oosterparkbuurt,75.4
2018,wijken,MD,Transvaalbuurt,37.85
2018,wijken,ME,Dapperbuurt,61.38
2018,wijken,MF,Indische Buurt-West,48.14
2018,wijken,MG,Indische Buurt-Oost,129.44
2018,wijken,MH,Zeeburgereiland/Bovendiep,462.7
2018,wijken,MJ,IJburg-West,321.81
2018,wijken,MK,IJburg-Oost,498.61
2018,wijken,ML,IJburg-Zuid,95.59
2018,wijken,MM,Frankendael,167.38
2018,wijken,MN,Middenmeer,302.19
2018,wijken,MP,Betondorp,113.4
2018,wijken,MQ,Omval/Overamstel,319.72
2018,wijken,NA,Oostzanerwerf,
2018,wijken,NB,Noordelijke IJ-oevers-West,405.13
2018,wijken,NC,Tuindorp Oostzaan,169.98
2018,wijken,ND,Kadoelen,149.6
2018,wijken,NE,Banne Buiksloot,182.97
2018,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,43.33
2018,wijken,NG,Elzenhagen,86.07
2018,wijken,NH,Buikslotermeer,155.34
2018,wijken,NJ,Waterlandpleinbuurt,150.98
2018,wijken,NK,Volewijck,131.32
2018,wijken,NL,IJplein/Vogelbuurt,145.32
2018,wijken,NM,Tuindorp Buiksloot,17.3
2018,wijken,NN,Tuindorp Nieuwendam,47.06
2018,wijken,NP,Noordelijke IJ-oevers-Oost,110.85
2018,wijken,NQ,Waterland,4255.38
2018,wijken,SA,Driemond,202.33
2018,wijken,SB,Bloemendalerpolder,
2018,wijken,SC,Weesp-Noordwest,
2018,wijken,SD,Weesp Binnenstad/Zuid,
2018,wijken,SE,Aetsveld/Oostelijke Vechtoever,
2018,wijken,TA,Amstel III/Bullewijk,527.36
2018,wijken,TB,Venserpolder,82
2018,wijken,TC,Amsterdamse Poort e.o.,152
2018,wijken,TD,H-buurt,81
2018,wijken,TE,Ganzenhoef e.o.,82
2018,wijken,TF,Geerdinkhof/Kantershof,157
2018,wijken,TG,Bijlmermuseum,71
2018,wijken,TH,K-buurt,95
2018,wijken,TJ,Holendrecht,138
2018,wijken,TK,Nellestein,294.87
2018,wijken,TL,Reigersbos,132
2018,wijken,TM,Gein,192.14
2019,wijken,AA,Haarlemmerbuurt,81.44
2019,wijken,AB,Jordaan,94.66
2019,wijken,AC,Grachtengordel-West,56.9
2019,wijken,AD,Burgwallen-Nieuwe Zijde,72.85
2019,wijken,AE,Burgwallen-Oude Zijde,40.47
2019,wijken,AF,Nieuwmarkt/Lastage,106.69
2019,wijken,AG,Grachtengordel-Zuid,64.19
2019,wijken,AH,De Weteringschans,64.77
2019,wijken,AJ,Weesperbuurt/Plantage,91.99
2019,wijken,AK,Oostelijke Eilanden/Kadijken,130.4
2019,wijken,BA,Havens-West,
2019,wijken,BB,Coenhaven/Minervahaven,
2019,wijken,EA,Sloterdijk-West,121.34
2019,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,141.06
2019,wijken,EC,Houthavens,91.96
2019,wijken,ED,De Kolenkit,74.13
2019,wijken,EE,Landlust,108.84
2019,wijken,EF,Erasmuspark,40.51
2019,wijken,EG,Centrale Markt,57.25
2019,wijken,EH,Staatsliedenbuurt,53.09
2019,wijken,EJ,Frederik Hendrikbuurt,42.12
2019,wijken,EK,Van Galenbuurt,29.4
2019,wijken,EL,Geuzenbuurt,29.18
2019,wijken,EM,Hoofdweg e.o.,41.98
2019,wijken,EN,Chassébuurt,27.57
2019,wijken,EP,Bellamybuurt,27.39
2019,wijken,EQ,Da Costabuurt,25.85
2019,wijken,ER,Westindische Buurt,34.68
2019,wijken,ES,Van Lennepbuurt,28.77
2019,wijken,ET,Overtoomse Sluis,30.86
2019,wijken,EU,Helmersbuurt,34.92
