Year,Geography,Code,Name,Population
2007,wijken,AD,Burgwallen-Nieuwe Zijde,3505
2007,wijken,AE,Burgwallen-Oude Zijde,3733
2007,wijken,AF,Nieuwmarkt/Lastage,8547
2007,wijken,AG,Grachtengordel-Zuid,5075
2007,wijken,AH,De Weteringschans,6916
2007,wijken,AJ,Weesperbuurt/Plantage,7456
2007,wijken,AK,Oostelijke Eilanden/Kadijken,12113
2007,wijken,EA,Sloterdijk-West,139
2007,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,10185
2007,wijken,EC,Houthavens,1681
2007,wijken,ED,De Kolenkit,7021
2007,wijken,EE,Landlust,18099
2007,wijken,EF,Erasmuspark,5074
2007,wijken,EG,Centrale Markt,2442
2007,wijken,EH,Staatsliedenbuurt,12098
2007,wijken,EJ,Frederik Hendrikbuurt,7652
2007,wijken,EK,Van Galenbuurt,5499
2007,wijken,EL,Geuzenbuurt,6274
2007,wijken,EM,Hoofdweg e.o.,10072
2007,wijken,EN,Chassébuurt,5587
2007,wijken,EP,Bellamybuurt,5060
2007,wijken,EQ,Da Costabuurt,4240
2007,wijken,ER,Westindische Buurt,6415
2007,wijken,ES,Van Lennepbuurt,6615
2007,wijken,ET,Overtoomse Sluis,7093
2007,wijken,EU,Helmersbuurt,6814
2007,wijken,EV,Vondelparkbuurt,1707
2007,wijken,FA,Sloterdijk Nieuw-West,78
2007,wijken,FB,Geuzenveld,16119
2007,wijken,FC,Slotermeer-West,10301
2007,wijken,FD,Slotermeer-Noordoost,9137
2007,wijken,FE,Slotermeer-Zuidoost,5776
2007,wijken,FF,Lutkemeer/Ookmeer,894
2007,wijken,FG,De Aker,14373
2007,wijken,FH,De Punt,4967
2007,wijken,FJ,Osdorp-Midden,10590
2007,wijken,FK,Osdorp-Oost,14020
2007,wijken,FL,Slotervaart-Noord,7650
2007,wijken,FM,Overtoomse Veld,9693
2007,wijken,FN,Slotervaart-Zuid,8757
2007,wijken,FP,Westlandgracht,4505
2007,wijken,FQ,Sloten/Nieuw-Sloten,13947
2007,wijken,KA,Hoofddorppleinbuurt,10648
2007,wijken,KB,Schinkelbuurt,3728
2007,wijken,KC,Willemspark,5161
2007,wijken,KD,Museumkwartier,12631
2007,wijken,KE,Oude Pijp,13659
2007,wijken,KF,Nieuwe Pijp,11352
2007,wijken,KG,Zuid Pijp,8181
2007,wijken,KH,Stadionbuurt,10223
2007,wijken,KJ,Apollobuurt,8050
2007,wijken,KK,Scheldebuurt,13099
2007,wijken,KL,IJselbuurt,5026
2007,wijken,KM,Rijnbuurt,8567
2007,wijken,KN,Prinses Irenebuurt e.o.,1185
2007,wijken,KP,Zuidas,83
2007,wijken,KQ,Buitenveldert-West,11717
2007,wijken,KR,Buitenveldert-Oost,7107
2007,wijken,MA,Oostelijk Havengebied,17086
2007,wijken,MB,Weesperzijde,4346
2007,wijken,MC,Oosterparkbuurt,10401
2007,wijken,MD,Transvaalbuurt,9413
2007,wijken,ME,Dapperbuurt,8252
2007,wijken,MF,Indische Buurt-West,12448
2007,wijken,MG,Indische Buurt-Oost,10620
2007,wijken,MH,Zeeburgereiland/Bovendiep,455
2007,wijken,MJ,IJburg-West,6091
2007,wijken,MK,IJburg-Oost,
2007,wijken,ML,IJburg-Zuid,
2007,wijken,MM,Frankendael,9242
2007,wijken,MN,Middenmeer,11979
2007,wijken,MP,Betondorp,3053
2007,wijken,MQ,Omval/Overamstel,2112
2007,wijken,NB,Noordelijke IJ-oevers-West,611
2007,wijken,NC,Tuindorp Oostzaan,9489
2007,wijken,ND,Kadoelen,2905
2007,wijken,NE,Banne Buiksloot,13693
2007,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,1590
2007,wijken,NG,Elzenhagen,1104
2007,wijken,NH,Buikslotermeer,10587
2007,wijken,NJ,Waterlandpleinbuurt,13055
2007,wijken,NK,Volewijck,9732
2007,wijken,NL,IJplein/Vogelbuurt,8331
2007,wijken,NM,Tuindorp Buiksloot,1884
2007,wijken,NN,Tuindorp Nieuwendam,3438
2007,wijken,NP,Noordelijke IJ-oevers-Oost,136
2007,wijken,NQ,Waterland,2129
2007,wijken,SA,Driemond,1485
2007,wijken,TA,Amstel III/Bullewijk,113
2007,wijken,TB,Venserpolder,8146
2007,wijken,TC,Amsterdamse Poort e.o.,5212
2007,wijken,TD,H-buurt,7048
2007,wijken,TE,Ganzenhoef e.o.,6858
2007,wijken,TF,Geerdinkhof/Kantershof,4962
2007,wijken,TG,Bijlmermuseum,7135
2007,wijken,TH,K-buurt,4015
2007,wijken,TJ,Holendrecht,9737
2007,wijken,TK,Nellestein,2716
2007,wijken,TL,Reigersbos,8501
2007,wijken,TM,Gein,11989
2008,wijken,AA,Haarlemmerbuurt,7191
2008,wijken,AB,Jordaan,18685
2008,wijken,AC,Grachtengordel-West,7409
2008,wijken,AD,Burgwallen-Nieuwe Zijde,3726
2008,wijken,AE,Burgwallen-Oude Zijde,3754
2008,wijken,AF,Nieuwmarkt/Lastage,8667
2008,wijken,AG,Grachtengordel-Zuid,5012
2008,wijken,AH,De Weteringschans,6880
2008,wijken,AJ,Weesperbuurt/Plantage,7501
2008,wijken,AK,Oostelijke Eilanden/Kadijken,12492
2008,wijken,EA,Sloterdijk-West,135
2008,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,10002
2008,wijken,EC,Houthavens,1817
2008,wijken,ED,De Kolenkit,7045
2008,wijken,EE,Landlust,17830
2008,wijken,EF,Erasmuspark,5068
2008,wijken,EG,Centrale Markt,2616
2008,wijken,EH,Staatsliedenbuurt,12094
2008,wijken,EJ,Frederik Hendrikbuurt,7791
