Year,Geography,Code,Name,13 - 17 years (%)
2006,wijken,NP,Noordelijke IJ-oevers-Oost,4.1
2006,wijken,NQ,Waterland,5.7
2006,wijken,SA,Driemond,6.6
2006,wijken,TA,Amstel III/Bullewijk,0
2006,wijken,TB,Venserpolder,5.8
2006,wijken,TC,Amsterdamse Poort e.o.,7.6
2006,wijken,TD,H-buurt,7.2
2006,wijken,TE,Ganzenhoef e.o.,7.3
2006,wijken,TF,Geerdinkhof/Kantershof,4.5
2006,wijken,TG,Bijlmermuseum,7.1
2006,wijken,TH,K-buurt,6.1
2006,wijken,TJ,Holendrecht,8.6
2006,wijken,TK,Nellestein,2.2
2006,wijken,TL,Reigersbos,5.8
2006,wijken,TM,Gein,8.5
2007,wijken,AA,Haarlemmerbuurt,3.1
2007,wijken,AB,Jordaan,2.3
2007,wijken,AC,Grachtengordel-West,1.6
2007,wijken,AD,Burgwallen-Nieuwe Zijde,1
2007,wijken,AE,Burgwallen-Oude Zijde,2.1
2007,wijken,AF,Nieuwmarkt/Lastage,2.7
2007,wijken,AG,Grachtengordel-Zuid,2.2
2007,wijken,AH,De Weteringschans,2.2
2007,wijken,AJ,Weesperbuurt/Plantage,2.3
2007,wijken,AK,Oostelijke Eilanden/Kadijken,4.9
2007,wijken,EA,Sloterdijk-West,1.4
2007,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,4.9
2007,wijken,EC,Houthavens,0.8
2007,wijken,ED,De Kolenkit,8
2007,wijken,EE,Landlust,4.6
2007,wijken,EF,Erasmuspark,3.1
2007,wijken,EG,Centrale Markt,6
2007,wijken,EH,Staatsliedenbuurt,3.2
2007,wijken,EJ,Frederik Hendrikbuurt,2.8
2007,wijken,EK,Van Galenbuurt,3.5
2007,wijken,EL,Geuzenbuurt,2.2
2007,wijken,EM,Hoofdweg e.o.,2.9
2007,wijken,EN,Chassébuurt,5.5
2007,wijken,EP,Bellamybuurt,2.7
2007,wijken,EQ,Da Costabuurt,2.5
2007,wijken,ER,Westindische Buurt,3
2007,wijken,ES,Van Lennepbuurt,3.1
2007,wijken,ET,Overtoomse Sluis,2.3
2007,wijken,EU,Helmersbuurt,2.6
2007,wijken,EV,Vondelparkbuurt,3.3
2007,wijken,FA,Sloterdijk Nieuw-West,1.3
2007,wijken,FB,Geuzenveld,7.5
2007,wijken,FC,Slotermeer-West,7.3
2007,wijken,FD,Slotermeer-Noordoost,5.7
2007,wijken,FE,Slotermeer-Zuidoost,3.8
2007,wijken,FF,Lutkemeer/Ookmeer,7.9
2007,wijken,FG,De Aker,7.5
2007,wijken,FH,De Punt,5.2
2007,wijken,FJ,Osdorp-Midden,6.3
2007,wijken,FK,Osdorp-Oost,5
2007,wijken,FL,Slotervaart-Noord,6.2
2007,wijken,FM,Overtoomse Veld,8.7
2007,wijken,FN,Slotervaart-Zuid,6.7
2007,wijken,FP,Westlandgracht,3.8
2007,wijken,FQ,Sloten/Nieuw-Sloten,8
2007,wijken,KA,Hoofddorppleinbuurt,2.2
2007,wijken,KB,Schinkelbuurt,2.3
2007,wijken,KC,Willemspark,4
2007,wijken,KD,Museumkwartier,3.2
2007,wijken,KE,Oude Pijp,2
2007,wijken,KF,Nieuwe Pijp,2.5
2007,wijken,KG,Zuid Pijp,4.7
2007,wijken,KH,Stadionbuurt,3.5
2007,wijken,KJ,Apollobuurt,4.1
2007,wijken,KK,Scheldebuurt,3
2007,wijken,KL,IJselbuurt,3.4
2007,wijken,KM,Rijnbuurt,2.6
2007,wijken,KN,Prinses Irenebuurt e.o.,4.4
2007,wijken,KP,Zuidas,1.2
2007,wijken,KQ,Buitenveldert-West,3.2
2007,wijken,KR,Buitenveldert-Oost,2.4
2007,wijken,MA,Oostelijk Havengebied,4.4
2007,wijken,MB,Weesperzijde,3.4
2007,wijken,MC,Oosterparkbuurt,4.7
2007,wijken,MD,Transvaalbuurt,6.2
2007,wijken,ME,Dapperbuurt,4.4
2007,wijken,MF,Indische Buurt-West,4.4
2007,wijken,MG,Indische Buurt-Oost,5.1
2007,wijken,MH,Zeeburgereiland/Bovendiep,2.2
2007,wijken,MJ,IJburg-West,3.9
2007,wijken,MK,IJburg-Oost,
2007,wijken,ML,IJburg-Zuid,
2007,wijken,MM,Frankendael,4.6
2007,wijken,MN,Middenmeer,5.1
2007,wijken,MP,Betondorp,2.5
2007,wijken,MQ,Omval/Overamstel,0.7
2007,wijken,NB,Noordelijke IJ-oevers-West,2.1
2007,wijken,NC,Tuindorp Oostzaan,5.5
2007,wijken,ND,Kadoelen,5.9
2007,wijken,NE,Banne Buiksloot,6.5
2007,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,5.8
2007,wijken,NG,Elzenhagen,7.2
2007,wijken,NH,Buikslotermeer,5
